paper_id,num_figures
2602.10837v1,6
2602.10906v1,10
2602.11497v2,12
2602.11547v3,9
2602.11618v4,23
2602.11701v1,8
2602.11704v1,5
2602.11804v1,2
2602.11873v2,7
2602.11890v1,7
2602.11903v2,3
2602.11969v1,4
2602.12026v2,18
2602.12306v1,4
2602.12310v1,1
2602.12313v2,13
2602.12317v1,11
2602.12410v2,92
2602.12705v4,9
2602.12730v1,1
2602.12750v1,5
2602.12758v1,2
2602.12805v2,6
2602.12820v1,6
2602.12866v1,4
2602.12883v1,2
2602.13043v1,3
2602.13121v1,2
2602.13267v3,14
2602.13270v1,3
2602.13293v2,6
2602.13303v1,21
2602.13308v3,5
2602.13344v1,17
2602.13398v1,12
2602.13414v1,18
2602.13419v1,5
2602.13509v1,15
2602.13522v1,8
2602.13532v1,4
2602.13770v3,6
2602.13814v1,3
2602.13984v3,10
2602.14199v2,3
2602.14616v1,11
2602.14709v2,9
2602.14828v1,6
2602.14913v1,2
2602.15087v1,6
2602.15339v1,3
2602.15368v1,9
2602.15451v3,4
2602.15677v3,5
2602.15727v1,9
2602.15740v1,10
2602.15779v1,7
2602.15899v2,3
2602.15913v1,7
2602.15917v1,10
2602.15988v1,5
2602.16004v1,15
2602.16320v1,4
2602.16357v1,11
2602.16504v1,1
2602.16696v1,19
2602.16724v1,5
2602.16737v1,5
2602.16749v1,4
2602.16753v1,15
2602.16841v1,9
2602.17010v1,4
2602.17120v1,7
2602.17252v1,15
2602.17274v2,6
2602.17793v1,2
2602.17797v1,8
2602.17813v1,2
2602.17855v1,5
2602.17901v2,13
2602.17929v2,15
2602.17986v1,2
2602.18119v1,9
2602.18400v2,9
2602.18428v1,6
2602.18472v1,3
2602.18536v1,8
2602.18542v1,7
2602.18589v1,17
2602.18643v1,3
2602.18727v1,22
2602.18863v1,12
2602.18889v2,19
2602.18915v1,6
2602.18961v1,4
2602.18965v1,8
2602.19055v2,4
2602.19196v1,4
2602.19268v1,13
2602.19295v1,6
2602.19763v1,3
2602.19775v1,2
2602.19891v1,6
2602.20187v1,4
2602.20198v1,5
2602.20209v1,5
2602.20218v3,2
2602.20289v1,11
2602.20328v2,22
2602.20344v1,7
2602.20495v1,5
2602.20535v2,4
2602.20539v1,10
2602.20994v1,1
2602.21128v1,8
2602.21163v1,12
2602.21336v1,2
2602.21345v1,5
2602.21365v1,6
2602.21393v1,4
2602.21482v1,2
2602.21513v1,9
2602.21648v1,3
2602.21707v2,7
2602.21777v1,7
2602.21993v1,11
2602.22140v1,18
2602.22235v1,13
2602.22263v2,13
2602.22275v1,17
2602.22279v1,10
2602.22289v2,8
2602.22544v1,6
2602.22673v1,4
2602.22691v1,11
2602.22974v1,10
2602.23214v1,13
2602.23269v1,4
2602.23324v1,11
2602.23447v1,5
2602.23459v1,4
2602.23496v1,2
2602.23509v1,3
2602.23533v1,8
2602.23557v2,1
2602.23752v1,4
2602.23771v1,7
2602.23782v1,3
2602.23791v2,7
2602.23803v1,3
2602.23833v2,2
2602.23847v1,7
2602.23946v1,4
2602.23961v1,3
2602.23962v1,2
2602.24258v1,17
2603.00141v3,32
2603.00147v1,7
2603.00162v1,6
2603.00193v1,7
2603.00204v1,6
2603.00205v1,4
2603.00208v1,4
2603.00218v2,3
2603.00368v1,9
2603.00614v1,40
2603.00678v2,2
2603.00709v1,9
2603.00798v1,3
2603.00882v1,7
2603.00920v1,11
2603.01016v1,19
2603.01396v2,6
2603.01449v1,1
2603.01537v1,5
2603.01584v1,14
2603.01682v2,5
2603.01767v1,11
2603.01810v1,9
2603.01840v1,4
2603.01849v1,3
2603.01872v1,14
2603.01965v1,19
2603.01997v1,5
2603.02165v1,14
2603.02274v2,3
2603.02288v1,3
2603.02294v1,1
2603.02378v2,3
2603.02470v1,8
2603.02499v1,6
2603.02536v1,9
2603.02665v1,10
2603.02712v1,19
2603.02753v1,2
2603.03060v1,15
