figure_id,paper_id,field,image_path,phash
FIG_00009145,2605.28684v1,ML,figures/ML/FIG_00009145.png,aef4b0e334f510e1
FIG_00009146,2605.28684v1,ML,figures/ML/FIG_00009146.png,abe2949570d3d195
FIG_00009148,2605.28684v1,ML,figures/ML/FIG_00009148.png,aff094f081f025f6
FIG_00009149,2605.28684v1,ML,figures/ML/FIG_00009149.png,aef4b0e334f510e1
FIG_00009150,2605.28684v1,ML,figures/ML/FIG_00009150.png,abe2949570d3d195
FIG_00009179,2605.28649v1,ML,figures/ML/FIG_00009179.png,bb6ce419e4c8c8e6
FIG_00009180,2605.28649v1,ML,figures/ML/FIG_00009180.png,bb6ce419e4c8c8e6
FIG_00009246,2605.28612v1,ML,figures/ML/FIG_00009246.png,efa4c033b44f36d0
FIG_00009260,2605.28612v1,ML,figures/ML/FIG_00009260.png,efa4c033b44f36d0
FIG_00009447,2605.28440v1,ML,figures/ML/FIG_00009447.png,8ff25a8d81d0c52f
FIG_00009448,2605.28440v1,ML,figures/ML/FIG_00009448.png,8ff25a8d81d0c52f
FIG_00009470,2605.28412v1,ML,figures/ML/FIG_00009470.png,aff0438bdc09dc4c
FIG_00009471,2605.28412v1,ML,figures/ML/FIG_00009471.png,aff0438bdc09dc4c
FIG_00009519,2605.28304v1,ML,figures/ML/FIG_00009519.png,ef92c790b885906f
FIG_00009520,2605.28304v1,ML,figures/ML/FIG_00009520.png,ef92c790b885906f
FIG_00009535,2605.28296v1,ML,figures/ML/FIG_00009535.png,ea96c170936f34c9
FIG_00009536,2605.28296v1,ML,figures/ML/FIG_00009536.png,ea96c170936f34c9
FIG_00009550,2605.28287v1,ML,figures/ML/FIG_00009550.png,fbd194a1c5e2942d
FIG_00009551,2605.28287v1,ML,figures/ML/FIG_00009551.png,fbd194a1c5e2942d
FIG_00009611,2605.28222v1,ML,figures/ML/FIG_00009611.png,b65ac8c16727ad29
FIG_00009614,2605.28222v1,ML,figures/ML/FIG_00009614.png,ed4b9294656daa0b
FIG_00009616,2605.28222v1,ML,figures/ML/FIG_00009616.png,bf682e3d7161c099
FIG_00009617,2605.28222v1,ML,figures/ML/FIG_00009617.png,b65ac8c16727ad29
FIG_00009621,2605.28222v1,ML,figures/ML/FIG_00009621.png,ed4b9294656daa0b
FIG_00009624,2605.28222v1,ML,figures/ML/FIG_00009624.png,bf682e3d7161c099
FIG_00009744,2605.28142v1,ML,figures/ML/FIG_00009744.png,bf0fc243d06ca93c
FIG_00009745,2605.28142v1,ML,figures/ML/FIG_00009745.png,bf0fc243d06ca93c
FIG_00009797,2605.28068v2,ML,figures/ML/FIG_00009797.png,db63960ba95c8176
FIG_00009798,2605.28068v2,ML,figures/ML/FIG_00009798.png,db63960ba95c8176
FIG_00010086,2605.27756v1,ML,figures/ML/FIG_00010086.png,ba2fc5d1cad0d4d0
FIG_00010087,2605.27756v1,ML,figures/ML/FIG_00010087.png,ba2fc5d1cad0d4d0
FIG_00010116,2605.27734v1,ML,figures/ML/FIG_00010116.png,bb63e64ec8c89991
FIG_00010117,2605.27734v1,ML,figures/ML/FIG_00010117.png,bb63e64ec8c89991
FIG_00010179,2605.27690v1,ML,figures/ML/FIG_00010179.png,87497c38e23bc647
FIG_00010180,2605.27690v1,ML,figures/ML/FIG_00010180.png,87497c38e23bc647
FIG_00010262,2605.27601v1,ML,figures/ML/FIG_00010262.png,ef2f9870b0dac3c0
FIG_00010263,2605.27601v1,ML,figures/ML/FIG_00010263.png,ef2f9870b0dac3c0
FIG_00010286,2605.27541v1,ML,figures/ML/FIG_00010286.png,ab81fe54817ec1aa
FIG_00010299,2605.27541v1,ML,figures/ML/FIG_00010299.png,ab81fe54817ec1aa
FIG_00010331,2605.27526v1,ML,figures/ML/FIG_00010331.png,be70f130a12b7ed0
FIG_00010337,2605.27526v1,ML,figures/ML/FIG_00010337.png,be70f130a12b7ed0
FIG_00010339,2605.27526v1,ML,figures/ML/FIG_00010339.png,be70f130a12b5ed8
FIG_00010341,2605.27526v1,ML,figures/ML/FIG_00010341.png,be70f130a12b5ed8
FIG_00010342,2605.27526v1,ML,figures/ML/FIG_00010342.png,be70f130a12b7ed0
FIG_00010382,2605.27499v1,ML,figures/ML/FIG_00010382.png,fa5285ada84ad297
FIG_00010393,2605.27499v1,ML,figures/ML/FIG_00010393.png,fa5285ada84ad297
FIG_00010434,2605.27259v1,ML,figures/ML/FIG_00010434.png,b8d0862fd89c6537
FIG_00010436,2605.27259v1,ML,figures/ML/FIG_00010436.png,b8d0862fd89c6537
FIG_00010448,2605.27245v1,ML,figures/ML/FIG_00010448.png,b3dc72333c2781a9
FIG_00010449,2605.27245v1,ML,figures/ML/FIG_00010449.png,b3dc72333c2781a9
FIG_00010455,2605.27236v1,ML,figures/ML/FIG_00010455.png,b733d0ccc9898dcc
FIG_00010456,2605.27236v1,ML,figures/ML/FIG_00010456.png,b733d0ccc9898dcc
FIG_00010510,2605.27485v1,ML,figures/ML/FIG_00010510.png,eb8635e16e9940bc
FIG_00010511,2605.27485v1,ML,figures/ML/FIG_00010511.png,eb8635e16e9940bc
FIG_00010625,2605.26998v1,ML,figures/ML/FIG_00010625.png,fe29947e8196d681
FIG_00010626,2605.26998v1,ML,figures/ML/FIG_00010626.png,fe29947e8196d681
FIG_00010831,2605.26732v1,ML,figures/ML/FIG_00010831.png,ff73d61e808181e3
FIG_00010832,2605.26732v1,ML,figures/ML/FIG_00010832.png,ff73d61e808181e3
FIG_00010859,2605.26713v1,ML,figures/ML/FIG_00010859.png,ebbcb481d685d4c1
FIG_00010860,2605.26713v1,ML,figures/ML/FIG_00010860.png,ebbcb481d685d4c1
FIG_00010895,2605.26632v1,ML,figures/ML/FIG_00010895.png,fa9c95a490cae565
FIG_00010896,2605.26632v1,ML,figures/ML/FIG_00010896.png,fa9c95a490cae565
FIG_00010914,2605.26619v1,ML,figures/ML/FIG_00010914.png,b81b878138eccfd8
FIG_00010915,2605.26619v1,ML,figures/ML/FIG_00010915.png,b81b878138eccfd8
FIG_00010969,2605.26595v1,ML,figures/ML/FIG_00010969.png,cab5b586a54ae15a
FIG_00010970,2605.26595v1,ML,figures/ML/FIG_00010970.png,cab5b586a54ae15a
FIG_00011320,2605.26357v2,ML,figures/ML/FIG_00011320.png,ec68b1b3b1b48595
FIG_00011332,2605.26357v2,ML,figures/ML/FIG_00011332.png,ec68b1b3b1b48595
FIG_00011399,2605.26320v1,ML,figures/ML/FIG_00011399.png,b70fc80fc8f08df0
FIG_00011400,2605.26320v1,ML,figures/ML/FIG_00011400.png,b70fc80fc8f08df0
FIG_00011501,2605.26248v1,ML,figures/ML/FIG_00011501.png,ffe892c992e8809b
FIG_00011502,2605.26248v1,ML,figures/ML/FIG_00011502.png,ffe892c992e8809b
FIG_00011503,2605.26248v1,ML,figures/ML/FIG_00011503.png,ffe892c992e8809b
FIG_00011860,2605.31596v1,CV,figures/CV/FIG_00011860.png,ff818194817f807f
FIG_00011861,2605.31596v1,CV,figures/CV/FIG_00011861.png,ff858091817f8177
FIG_00011862,2605.31596v1,CV,figures/CV/FIG_00011862.png,ff818194817f807f
FIG_00011863,2605.31596v1,CV,figures/CV/FIG_00011863.png,ff858091817f8177
FIG_00011864,2605.31596v1,CV,figures/CV/FIG_00011864.png,ff858190816f907f
FIG_00011865,2605.31596v1,CV,figures/CV/FIG_00011865.png,ff858190816f907f
FIG_00011914,2605.31576v1,CV,figures/CV/FIG_00011914.png,befc8081d66f8139
FIG_00011915,2605.31576v1,CV,figures/CV/FIG_00011915.png,befc8081d66f8139
FIG_00012075,2605.31437v1,CV,figures/CV/FIG_00012075.png,bb1b90a4c6c6278f
FIG_00012076,2605.31437v1,CV,figures/CV/FIG_00012076.png,bb1b90a4c6c6278f
FIG_00012088,2605.31429v1,CV,figures/CV/FIG_00012088.png,ab2188c7d4d4d6da
FIG_00012089,2605.31429v1,CV,figures/CV/FIG_00012089.png,ab2188c7d4d4d6da
FIG_00012191,2605.31294v1,CV,figures/CV/FIG_00012191.png,acf0c707d2c9b478
FIG_00012192,2605.31294v1,CV,figures/CV/FIG_00012192.png,acf0c707d2c9b478
FIG_00012241,2605.30939v1,CV,figures/CV/FIG_00012241.png,ea336564b568989b
FIG_00012242,2605.30939v1,CV,figures/CV/FIG_00012242.png,ea336564b568989b
FIG_00012316,2605.30863v1,CV,figures/CV/FIG_00012316.png,fa85857e1e5a8127
FIG_00012317,2605.30863v1,CV,figures/CV/FIG_00012317.png,fa85857e1e5a8127
FIG_00012318,2605.30863v1,CV,figures/CV/FIG_00012318.png,eadd2a84852edd4a
